Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2021-09-14 17:10:40,false,"Washington County Walking","0.91","132","00:28:44","81","96","0.2","56","155","31:35","6:55","20","20","0.83","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:02.78","2","0.0","00:00:00","00:44:32","194","213"
Walking,2021-09-13 19:49:47,false,"Washington County Walking","1.03","132","00:23:30","100","150","0.8","80","178","22:52","7:14","10","9","0.88","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:27.40","2","0.0","00:00:00","00:24:00","203","217"
Walking,2021-09-13 17:36:26,false,"Washington County Walking","1.20","198","00:32:43","77","117","0.3","36","147","27:16","1:43","31","20","3.32","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:02.84","3","0.0","00:00:00","01:01:43","193","233"
Walking,2021-09-12 19:56:55,false,"Washington County Walking","1.19","125","00:24:39","90","108","0.4","98","133","20:40","15:22","16","16","0.80","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","03:49.75","2","0.0","00:00:00","00:24:39","197","217"
Walking,2021-09-12 17:34:27,false,"Washington County Walking","1.18","137","00:32:26","87","108","0.3","70","133","27:29","19:33","20","20","0.83","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","05:49.82","2","0.0","00:00:00","00:32:29","194","217"
Walking,2021-09-12 08:17:44,false,"Washington County Walking","1.35","136","00:32:59","71","93","0.2","83","129","24:28","16:55","19","19","0.79","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","09:03.07","2","0.0","00:00:00","00:34:40","193","207"
Walking,2021-09-11 18:48:24,false,"Washington County Walking","1.25","210","00:30:00","116","131","1.2","69","151","24:05","14:14","22","23","0.93","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","06:52.62","2","0.0","00:00:00","00:31:00","194","217"
Running,2021-09-11 16:53:36,false,"Washington County Running","3.07","343","00:27:27","158","186","3.6","168","217","8:57","6:32","30","35","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:30.84","4","0.0","00:00:00","00:41:08","184","220"
Walking,2021-09-11 08:45:48,false,"Washington County Walking","1.34","201","00:41:30","82","125","0.4","51","184","30:57","15:42","22","22","0.80","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","19:05.30","2","0.0","00:00:00","00:53:30","196","213"
Walking,2021-09-10 20:21:58,false,"Washington County Walking","0.60","114","00:16:31","94","110","0.4","48","226","27:32","11:50","6","7","0.86","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","23:58.12","1","0.0","00:00:00","00:23:58","200","210"
Walking,2021-09-10 10:58:55,false,"Washington County Walking","1.26","175","00:33:36","105","126","0.9","77","133","26:40","17:25","20","20","0.79","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","07:49.16","2","0.0","00:00:00","00:33:36","194","217"
Running,2021-09-09 16:56:59,false,"Washington County Running","3.02","336","00:27:25","154","180","3.9","165","185","9:05","5:42","22","26","1.08","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:07.70","4","0.0","00:00:00","00:41:14","184","220"
Running,2021-09-08 17:49:38,false,"Washington County Running","0.89","106","00:27:17","82","94","0.3","53","133","30:35","17:01","11","9","0.99","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","27:16.60","1","0.0","00:00:00","00:27:17","194","207"
Walking,2021-09-07 20:04:32,false,"Washington County Walking","1.22","172","00:37:30","98","129","0.6","63","137","30:41","17:44","21","21","0.83","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","12:12.53","2","0.0","00:00:00","00:37:30","194","217"
Walking,2021-09-07 17:39:46,false,"Washington County Walking","0.55","79","00:16:50","91","104","0.3","51","132","30:31","14:45","9","9","1.04","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","16:49.60","1","0.0","00:00:00","00:16:50","205","217"
Walking,2021-09-06 19:39:36,false,"Washington County Walking","0.84","132","00:15:00","122","176","2.4","92","210","17:58","8:23","13","13","0.97","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","15:00.21","1","0.0","00:00:00","00:15:00","194","207"
Walking,2021-09-06 17:30:33,false,"Washington County Walking","1.31","166","00:36:58","99","118","0.4","74","147","28:09","18:40","21","20","0.78","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","10:07.69","2","0.0","00:00:00","00:36:58","193","217"
Walking,2021-09-06 11:09:24,false,"Washington County Walking","1.25","141","00:38:01","78","90","0.3","65","173","30:25","18:25","20","21","0.82","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","07:52.66","2","0.0","00:00:00","00:38:01","193","217"
Running,2021-09-05 16:03:06,false,"Washington County Running","3.09","384","00:27:38","159","180","3.9","154","182","8:56","6:35","39","39","1.08","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","02:32.89","4","0.0","00:00:00","00:44:32","184","220"
